,SUBMITTED_DATE,CASE_NO,PROGRAM_DESIGNATION,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_COUNTY,EMPLOYER_POSTAL_CODE,NBR_IMMIGRANTS,BEGIN_DATE,END_DATE,JOB_TITLE,DOL_DECISION_DATE,OCCUPATIONAL_CODE,OCCUPATIONAL_TITLE,APPROVAL_STATUS,WAGE_RATE_1,RATE_PER_1,MAX_RATE_1,PART_TIME_1,CITY_1,STATE_1,PREVAILING_WAGE_1,WAGE_SOURCE_1,YR_SOURCE_PUB_1,OTHER_WAGE_SOURCE_1,WAGE_RATE__2,RATE_PER_2,MAX_RATE_2,PART_TIME_2,CITY_2,STATE_2,PREVAILING_WAGE_2,WAGE_SOURCE_2,YR_SOURCE_PUB_2,OTHER_WAGE_SOURCE_2,WITHDRAWN
125797,2009-03-17,I-09076-4775527,R,"HEALTH FACILITIES REHAB SERVICE, INC.",1102 SIKES AVENUE,,SIKESTON,MO,SCOTT,63801,5,2009-09-16,2012-09-16,PHYSICAL THERAPIST,2009-03-17,79.0,OTHER OCCUPATIONS IN MEDICINE AND HEALTH,CERTIFIED,51064,YR,,N,POPLAR BLUFF,MO,35235,Other,2008.0,ETA FLC DATA CENTER,51064.0,yr,,N,EXCELSIOR SPRINGS,MO,51064.0,Other,2008.0,ETA FLC Data Center,N
154586,2009-03-25,I-09069-4746019,R,FENDER MUSICAL INSTRUMENTS CORP.,"8860 CHAPARRAL ROAD, #100",,SCOTTSDALE,AZ,MARICOPA,85250,1,2009-09-24,2012-09-24,INDUSTRIAL DESIGNER,2009-03-25,141.0,"COMMERCIAL ARTISTS: DESIGNERS AND ILLUSTRATORS, GRAPHIC ARTS",CERTIFIED,78712,YR,,N,OLYMPIA,WA,22277,Other,2009.0,ONLINE WAGE LIBRARY,,,,,,,,,,,Y
237182,2009-06-01,I-09152-4992891,R,"COMMVAULT AMERICAS, INC.",2 CRESCENT PLACE,,OCEANPORT,NJ,MONMOUTH,7757,1,2009-11-30,2012-11-30,SYSTEM TESTER,2009-06-01,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,60000,YR,60000.0,N,OCEANPORT,NJ,56222,Other,2009.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
210937,2009-04-29,I-09119-4940235,R,"AT HOME FURNISHINGS, LLC",928 S. WESTERN AVE. STE. 237,,LOS ANGELES,CA,LOS ANGELES,90006,1,2009-10-01,2012-09-30,BUSINESS DEVELOPMENT ASSOCIATE,2009-04-29,50.0,OCCUPATIONS IN ECONOMICS,CERTIFIED,38000,YR,,N,LOS ANGELES,CA,38000,Other,2009.0,EMPLOYER CONDUCTED SURVEY,,,,,,,,,,,N
183845,2009-04-02,I-09092-4884591,R,SUNSOFT CORP,1039 STERLING ROAD,SUITE # 103,HERNDON,VA,FAIRFAX,20170,1,2009-10-01,2012-10-01,BUSINESS ANALYST,2009-04-02,39.0,OTHER COMPUTER-RELATED OCCUPATIONS,CERTIFIED,55000,YR,,N,DC METRO,VA,54995,Other,2008.0,OES WAGE DATA,,,,,,,,,,,N
67089,2009-01-29,I-09029-4647559,R,CLEARSTREAM BANKING S.A.,55 BROAD STREET,8TH FLOOR,NEW YORK,NY,NEW YORK,10004,1,2009-07-20,2011-07-04,VICE PRESIDENT,2009-01-29,186.0,"FINANCE, INSURANCE, AND REAL ESTATE MANAGERS AND OFFICIALS",CERTIFIED,114000,YR,,N,NEW YORK CITY,NY,86195,Other,2009.0,OES,,,,,,,,,,,Y
41957,2008-12-11,I-08346-4595181,R,"TAPIOCA EXPRESS, INC.",1908 CENTRAL AVE.,,SOUTH EL MONTE,CA,LOS ANGELES,91733,1,2009-01-01,2011-12-31,MARKETING SPECIALIST,2008-12-11,163.0,SALES AND DISTRIBUTION MANAGEMENT OCCUPATIONS,CERTIFIED,30000,YR,,N,SOUTH EL MONTE,CA,28800,Other,2008.0,EMPLOYER'S SURVEY,,,,,,,,,,,N
40223,2008-12-09,I-08344-4591659,R,SAFEPAGE CORPORATION,4400 BOHANNON DRIVE,,MENLO PARK,CA,SAN MATEO,94025,1,2008-12-09,2010-04-24,SENIOR DATABASE ADMINISTRATOR,2008-12-09,39.0,OTHER COMPUTER-RELATED OCCUPATIONS,CERTIFIED,100000,YR,,N,MENLO PARK,CA,54829,SESA,,,,,,,,,,,,,N
224117,2009-05-13,I-09133-4966741,R,UNIVERSITY OF NEBRASKA MEDICAL CENTER,INTERNATIONAL STUDIES AND PROGRAMS,985735 UNMC,OMAHA,NE,,68198-5735,1,2009-07-01,2012-06-30,ASSISTANT PROFESSOR,2009-05-13,90.0,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,CERTIFIED,127,HR,,Y,OMAHA,NE,127,SESA,,,,,,,,,,,,,N
235756,2009-05-28,I-09139-4976407,R,"TECHNIP USA, INC.","11700 KATY FREEWAY, SUITE 150",,HOUSTON,TX,HARRIS,77079,1,2009-10-01,2012-09-30,SENIOR SPECIALIST,2009-05-28,7.0,MECHANICAL ENGINEERING OCCUPATIONS,CERTIFIED,115000,YR,,N,HOUSTON,TX,87506,Other,2008.0,OES WAGE SURVEY,,,,,,,,,,,N
209639,2009-04-28,I-09118-4937513,R,"GRANITE CONSTRUCTION, INC. (WATSONVILLE)",585 WEST BEACH STREET,,WATSONVILLE,CA,SANTA CRUZ,95076,5,2009-10-01,2012-09-30,ENVIRONMENTAL ENGINEER,2009-04-28,29.0,OTHER OCCUPATIONS IN MATHEMATICS AND PHYSICAL SCIENCES,CERTIFIED,70900,YR,,N,WATSONVILLE,CA,70900,Other,2009.0,SALARY.COM,,,,,,,,,,,N
64568,2009-01-27,I-09027-4642051,R,VANDERBILT UNIVERSITY,OFFICE OF INTERNATIONAL SERVICES,"310 25TH AVE. S., SUITE 103",NASHVILLE,TN,,37240-1107,1,2009-04-01,2012-03-31,RESEARCH ASSISTANT II,2009-01-27,49.0,OTHER OCCUPATIONS IN LIFE SCIENCES,CERTIFIED,30950,YR,,N,NASHVILLE,TN,30950,Other,2008.0,OES,,,,,,,,,,,N
28501,2008-11-17,I-08322-4567661,R,UNIVERSITY OF SOUTHERN CALIFORNIA,"STUDENT UNION 300, UNIVERSITY PARK CAMPUS",,LOS ANGELES,CA,,90089-0899,1,2009-01-01,2011-12-31,POSTDOCTORAL RESEARCH ASSOCIATE,2008-11-17,90.0,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,CERTIFIED,36000,YR,,N,LOS ANGELES,CA,34320,Other,2008.0,OES WAGE DATA,,,,,,,,,,,N
137027,2009-03-20,I-09068-4738377,R,"E.C. ORTIZ & CO., LLP",333 S. DESPLAINES STREET,SUITE 2-N,CHICAGO,IL,COOK,60661,1,2009-09-09,2012-09-09,ACCOUNTANT,2009-03-20,160.0,"ACCOUNTANT, AUDITORS, AND RELATED OCCUPATIONS",CERTIFIED,42000,YR,,N,CHICAGO,IL,41808,SESA,,,,,,,,,,,,,N
51787,2009-01-06,I-08353-4602321,R,SPSS INC.,233 SOUTH WACKER DRIVE,11TH FLOOR,CHICAGO,IL,,60606-6307,1,2009-06-05,2012-06-05,SENIOR MARKET RESEARCH ANALYST,2009-01-06,50.0,OCCUPATIONS IN ECONOMICS,CERTIFIED,82802,YR,,N,FLOWER MOUND,TX,72883,Other,2008.0,OES ONLINE WAGE LIBRARY,,,,,,,,,,,N
142593,2009-03-23,I-09079-4798709,R,"MMI ENGINEERING, INC.",11490 WESTHEIMER ROAD,SUITE 150,HOUSTON,TX,HARRIS,77077,1,2009-09-20,2012-09-20,SENIOR STAFF ENGINEER,2009-03-23,5.0,CIVIL ENGINEERING OCCUPATIONS,CERTIFIED,65000,YR,,N,OAKLAND,CA,62338,Other,2008.0,OES,,,,,,,,,,,N
210870,2009-04-29,I-09119-4940097,R,CASE WESTERN RESERVE UNIVERSITY,10900 EUCLID AVENUE,"SEARS LIBRARY, ROOM 212",CLEVELAND,OH,,44106-7044,1,2009-05-01,2011-04-30,POSTDOCTORAL SCHOLAR,2009-04-29,41.0,OCCUPATIONS IN BIOLOGICAL SCIENCES,CERTIFIED,38976,YR,,N,CLEVELAND,OH,30160,Other,2009.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
123106,2009-03-16,I-09075-4770283,R,UST GLOBAL INC.,120 VANTIS,,ALISO VIEJO,CA,ORANGE,92656,2,2009-09-10,2012-09-10,PROGRAMMER ANALYST,2009-03-16,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,44138,YR,,N,NEWBURY PARK,CA,44138,Other,2008.0,OES ONLINE WAGE LIBRARY,,,,,,,,,,,N
22806,2008-11-07,I-08312-4555981,R,PARADIGM INFOTECH INC,8830 STANFORD BLVD,STE 312,COLUMBIA,MD,HOWARD,21045,1,2008-11-07,2009-11-07,PROGRAMMER ANALYST,2008-11-07,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,51646,YR,,N,WESTLAKE,TX,51646,Other,2008.0,ONLINE WAGE LIBRARY,51646.0,yr,,N,COLUMBIA,MD,50814.0,Other,2008.0,ONLINE WAGE LIBRARY,N
241740,2009-06-05,I-09155-5000793,R,IBG LLC,ONE PICKWICK PLAZA,,GREENWICH,CT,FAIRFIELD,6830,1,2009-06-08,2012-06-07,"IT MANAGER, QUANTITATIVE ANALYTICS",2009-06-05,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,185000,YR,195000.0,N,GREENWICH,CT,154107,Other,2009.0,OES WAGE DATA SURVEY,,,,,,,,,,,N
241413,2009-06-04,I-09104-4912705,R,"COUNTRYWIDE HOME LOANS, INC.","1100 NORTH KING ST,",,WILMINGTON,DE,NEW CASTLE,19884,1,2009-07-10,2012-07-09,CONSULTANT - APPLICATIONS PROGRAMMING,2009-06-04,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,92000,YR,112000.0,N,AUSTIN,TX,77646,Other,2009.0,ETA ALC WAGE SURVEY,,,,,,,,,,,N
50214,2008-12-31,I-08366-4611777,R,"MEDIA GENERAL OPERATIONS, INC. DBA WFLA-TV","200 S. PARK STREET,",,TAMPA,FL,HILLSBOROUGH,33606,1,2009-03-07,2012-03-06,TELEVISION HOST,2008-12-31,159.0,OTHER OCCUPATIONS IN ENTERTAINMENT AND RECREATION,CERTIFIED,74400,YR,,N,TEMPA,FL,56742,Other,2008.0,OES ONLINE WAGE LIBRARY,,,,,,,,,,,N
153384,2009-03-25,I-09084-4827929,R,MOON TECHNOLOGIES CORPORATION,2713 WORDSWORTH DR,,SPRINGFIELD,IL,SANGAMON,62711,1,2009-09-16,2012-09-15,PROGRAMMER ANALYST,2009-03-25,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,45000,YR,,N,SPRINGFIELD,IL,43014,Other,2008.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
95723,2009-02-28,I-09059-4710465,R,PATNI AMERICAS INC.,ONE BROADWAY,15TH FLOOR,CAMBRIDGE,MA,MIDDLESEX,2142,1,2009-08-29,2012-08-29,COMPUTER PROGRAMMER,2009-02-28,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,49200,YR,,N,BOSTON,MA,49109,Other,2008.0,OES,,,,,,,,,,,N
184527,2009-04-02,I-09089-4865085,R,"OMAHA PUBLIC SCHOOLS, DISTRICT 001",3215 CUMING STREET,,OMAHA,NE,DOUGLAS,68131,1,2009-08-28,2012-08-27,SECONDARY CURRICULUM SPECIALIST,2009-04-02,91.0,OCCUPATIONS IN SECONDARY SCHOOL EDUCATION,CERTIFIED,49714,YR,,N,OMAHA,NE,43243,SESA,,,,,,,,,,,,,N
189514,2009-04-07,I-09097-4896329,R,"INTECH BIZSOLUTIONS, INC.",11211 KATY FREEWAY,SUITE 350,HOUSTON,TX,HARRIS,77079,1,2009-10-01,2012-09-30,SOFTWARE ENGINEER,2009-04-07,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,55750,YR,,N,HOUSTON,TX,55682,Other,2009.0,OES/SOC WAGE SURVEY,,,,,,,,,,,N
146462,2009-03-24,I-09083-4815321,R,LARSEN & TOUBRO INFOTECH LIMITED,"2035 LINCOLN HIGHWAY,",EDISON SQUARE WEST,EDISON,NJ,MIDDLESEX,8817,1,2009-09-02,2012-09-02,IT CONSULTANT / MANAGEMENT SYSTEMS ANALYST,2009-03-24,189.0,MISCELLANEOUS MANAGERS AND OFFICIALS,CERTIFIED,62159,YR,,N,SAN DIEGO,CA,44803,Other,2009.0,OEC/SOC WAGES,,,,,,,,,,,N
254480,2009-06-22,I-09166-5017887,R,"WELLS FARGO BANK, N.A","100 W. WASHINGTON ST., 16TH FLOOR",,PHOENIX,AZ,MARICOPA,85003,1,2009-11-10,2012-11-09,RISK MANAGEMENT CONSULTANT 1,2009-06-22,169.0,OTHER OCCUPATIONS IN ADMINISTRATIVE OCCUPATIONS,CERTIFIED,80979,YR,,N,PHOENIX,AZ,68931,Other,2009.0,SOC ONLINE WAGE LIBRARY,,,,,,,,,,,N
19198,2008-10-31,I-08305-4548519,R,COLUMBIA UNIVERSITY,"2960 BROADWAY, MC5724",,NEW YORK,NY,NEW YORK,10027,1,2008-12-01,2009-11-30,POSTDOCTORAL RESEARCH SCHOLAR,2008-10-31,90.0,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,CERTIFIED,44550,YR,,N,NEW YORK,NY,43760,Other,2008.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
41246,2008-12-11,I-08346-4593721,R,IBM CORPORATION,3039 CORNWALLIS RD.,,RTP,NC,DURHAM,27709,1,2008-12-24,2011-12-23,BUSINESS INTELLIGENCE CONSULTANT,2008-12-11,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,62479,YR,103001.0,N,BETHESDA,MD,58261,Other,2008.0,OES WAGE DATA,62479.0,yr,103001.0,N,SAN FRANCISCO,CA,60674.0,Other,2008.0,OES Wage Data,N
104189,2009-03-05,I-09064-4729403,R,ZEDVENTURES INC.,1762 TECHNOLOGY DRIVE,122,SAN JOSE,CA,SANTA CLARA,95110,1,2009-03-09,2012-03-08,SENIOR SYSTEMS ANALYST,2009-03-05,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,110000,YR,,N,SAN JOSE,CA,100152,Other,2009.0,OES/SOC,,,,,,,,,,,N
2866,2008-10-06,I-08280-4515057,R,"HAPPY KIDS CHILDCARE, INC.",7118 BYRON AVENUE,,MIAMI BEACH,FL,MIAMI-DADE,33141,1,2009-05-01,2011-05-01,SPEECH THERAPIST,2008-10-06,97.0,OCCUPATIONS IN VOCATIONAL EDUCATION,DENIED,66000,YR,,N,MIAMI BEACH,FL,66000,SESA,,,,,,,,,,,,,N
130896,2009-03-18,I-09071-4755405,R,WAL*MART ASSOCIATES INC.,702 SW 8TH STREET,,BENTONVILLE,AR,BENTON,72716,1,2009-09-11,2012-09-11,PHARMACY MANAGER,2009-03-18,74.0,PHARMACISTS,CERTIFIED,116480,YR,,N,PHILDADELPHIA,PA,72155,Other,2008.0,OES WAGE DATA SURVEY,,,,,,,,,,,N
120025,2009-03-13,I-09072-4763845,R,"EVEREST BUSINESS SOLUTIONS, INC.",459 HERNDON PARKWAY,SUITE 10,HERNDON,VA,FAIRFAX,20170,1,2009-03-13,2010-05-31,SOFTWARE ENGINEER,2009-03-13,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,61000,YR,,N,LOUISVILLE,KY,56784,Other,2008.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
85430,2009-02-20,I-09051-4687717,R,"AMERICAN UNIT, INC.","HALL OFFICE PARK, 2801 NETWORK BLVD.",SUITE 810,FRISCO,TX,DENTON,75034,1,2009-02-20,2012-02-20,PROGRAMMER ANALYST,2009-02-20,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,59218,YR,85000.0,N,LEXINGTON,MA,59218,Other,2008.0,OES WAGE SURVEY,,,,,,,,,,,N
60510,2009-01-20,I-09016-4629795,R,"SUN MICROSYSTEMS, INC.",4160 NETWORK CIRCLE,M/S USCA16-106,SANTA CLARA,CA,SANTA CLARA,95054,1,2009-01-20,2012-01-19,MEMBER TECHNICAL STAFF - HARDWARE,2009-01-20,33.0,OCCUPATIONS IN COMPUTER SYSTEM TECHNICAL SUPPORT,CERTIFIED,93197,YR,193600.0,N,SAN DIEGO,CA,93197,Other,2008.0,RADFORD SURVEY,,,,,,,,,,,N
218515,2009-05-07,I-09127-4955563,R,"B.H. MANAGEMENT, INC.",11111 SANTA MONICA BLVD STE 600,,LOS ANGELES,CA,LOS ANGELES,90025,1,2009-10-06,2012-10-05,ACCOUNTANT,2009-05-07,160.0,"ACCOUNTANT, AUDITORS, AND RELATED OCCUPATIONS",CERTIFIED,19,HR,,N,LOS ANGELES,CA,18,Other,2009.0,OES/SOC,,,,,,,,,,,N
182472,2009-04-02,I-09092-4881899,R,INFOSYS TECHNOLOGIES LIMITED,"6100, TENNYSON PARKWAY,","SUITE 200,",PLANO,TX,COLLIN,75024,1,2009-10-01,2012-09-29,ERP ANALYST,2009-04-02,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,44117,YR,64117.0,N,HOUSTON,TX,44117,Other,2008.0,OES,,,,,,,,,,,N
251101,2009-06-17,I-09168-5021173,R,"ING DIRECT, FSB",1 SOUTH ORANGE STREET,,WILMINGTON,DE,NEW CASTLE,19801,1,2009-07-01,2012-07-01,FINANCIAL ANALYTICS & RESEARCH LEAD,2009-06-17,169.0,OTHER OCCUPATIONS IN ADMINISTRATIVE OCCUPATIONS,CERTIFIED,34,HR,,Y,NEW YORK CITY,NY,27,Other,2008.0,OES SOC WAGE DATA,34.0,hr,,Y,WILMINGTON,DE,22.0,Other,2008.0,OES SOC WAGE DATA,N
163778,2009-03-27,I-09086-4846795,R,"S.A.C. CAPITAL ADVISORS, L.P.",72 CUMMINGS POINT ROAD,,STAMFORD,CT,FAIRFIELD,6902,1,2009-04-06,2012-04-06,QUANTITATIVE ANALYST,2009-03-27,160.0,"ACCOUNTANT, AUDITORS, AND RELATED OCCUPATIONS",CERTIFIED,120000,YR,,N,NEW YORK,NY,105914,Other,2009.0,OES WAGE DATA SURVEY,,,,,,,,,,,N
41238,2008-12-11,I-08346-4593775,R,"ESCHOLAR, LLC",222 BLOOMINGDALE ROAD,SUITE 107,WHITE PLAINS,NY,WESTCHESTER,10605,1,2009-01-01,2011-12-31,PROGRAMMER ANALYST,2008-12-11,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,90000,YR,,N,WHITE PLAINS,NY,73694,Other,2008.0,OES SALARY SURVEY,,,,,,,,,,,N
214799,2009-05-04,I-09124-4947911,R,"PIONEER TRADING, INC.",6305 ALONDRA BLVD.,,PARAMOUNT,CA,LOS ANGELES,90723,1,2009-05-15,2012-05-15,FACILITY DESIGN & MAINTENANCE ENGINEER,2009-05-04,7.0,MECHANICAL ENGINEERING OCCUPATIONS,CERTIFIED,56909,YR,,N,PARAMOUNT,CA,56909,Other,2008.0,FLC WAGE DATA,,,,,,,,,,,N
163638,2009-03-27,I-09086-4846545,R,"BIZNETZ, INCORPORATED",2007 YANCEYVILLE STREET,SUITE 3309,GREENSBORO,NC,GUILFORD,27405,1,2009-09-26,2012-09-25,PROGRAMMER ASSOCIATE,2009-03-27,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,48000,YR,,N,GREENSBORO,NC,46072,Other,2009.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
215914,2009-05-05,I-09110-4922277,R,"ITRON, INC.",2111 NORTH MOLTER ROAD,,LIBERTY LAKE,WA,SPOKANE,99019,1,2009-06-12,2012-06-11,PRINCIPAL SOFTWARE ENGINEER,2009-05-05,39.0,OTHER COMPUTER-RELATED OCCUPATIONS,CERTIFIED,104555,YR,,N,OAKLAND,CA,98509,Other,2008.0,OES ONLINE WAGE SURVEY,,,,,,,,,,,N
161775,2009-03-26,I-09085-4843139,R,FOURTH TECHNOLOGIES INC,1816 SPRINGDALE RAOD,,CHERRY HILL,NJ,CAMDEN,8003,1,2009-09-25,2012-09-24,PROGRAMMER ANALYST,2009-03-26,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,52000,YR,,N,CHERRY HILL,NJ,51542,Other,2009.0,OES/SOC,,,,,,,,,,,N
76029,2009-02-11,I-09042-4666875,R,MAHENDER MUSUKU,346 GEORGES ROAD,SUITE # 1,DAYTON,NJ,MIDDLESEX,8810,1,2009-02-11,2010-09-21,COMPUTER PROGRAMMER ANALYST,2009-02-11,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,74000,YR,,N,NEW YORK,NY,73694,Other,2008.0,OES/SOC,,,,,,,,,,,Y
242230,2009-06-05,I-09131-4960351,R,DOWNTOWN BRONX MEDICAL ASSOCIATES,234 EAST 149TH STREET,SUITE 8D200,BRONX,NY,BRONX,10451,1,2009-07-01,2012-07-01,ATTENDING PHYSICIAN,2009-06-05,70.0,PHYSICIANS AND SURGEONS,CERTIFIED,130000,YR,,N,NEW YORK,NY,91270,Collective Bargaining Agreement,,,,,,,,,,,,,N
38707,2008-12-05,I-08340-4588563,R,LANCESOFT INC,2325 DULLES CORNER BLVD,SUITE#910,HERNDON,VA,FAIRFAX,20171,1,2009-02-22,2012-02-21,PROGRAMMER/ANALYST,2008-12-05,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,60000,YR,,N,HERNDON,VA,41200,Other,2006.0,ETA ALC DATA CENTER,,,,,,,,,,,N
