,LCA_CASE_NUMBER,STATUS,LCA_CASE_SUBMIT,Decision_Date,VISA_CLASS,LCA_CASE_EMPLOYMENT_START_DATE,LCA_CASE_EMPLOYMENT_END_DATE,LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_ADDRESS,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_SOC_CODE,LCA_CASE_SOC_NAME,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM,LCA_CASE_WAGE_RATE_TO,LCA_CASE_WAGE_RATE_UNIT,FULL_TIME_POS,TOTAL_WORKERS,LCA_CASE_WORKLOC1_CITY,LCA_CASE_WORKLOC1_STATE,PW_1,PW_UNIT_1,PW_SOURCE_1,OTHER_WAGE_SOURCE_1,YR_SOURCE_PUB_1,LCA_CASE_WORKLOC2_CITY,LCA_CASE_WORKLOC2_STATE,PW_2,PW_UNIT_2,PW_SOURCE_2,OTHER_WAGE_SOURCE_2,YR_SOURCE_PUB_2,LCA_CASE_NAICS_CODE
52749,I-200-09238-011875,DENIED,2009-08-27,2009-09-02,H-1B,2009-12-17,2010-12-17,"HOME WIZ USA, INC",61 GRAND CANAL DR.,MIAMI,FL,33144,13-1073.00,Training and Development Specialists,TRAINING AND DEVELOPMENT SPECIALIST,26.16,,Hour,Y,1.0,MIAMI,FL,26.16,Hour,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,5311.0
47446,I-200-09231-702772,CERTIFIED,2009-08-31,2009-09-04,H-1B,2010-01-01,2012-12-31,CARDINAL IG COMPANY,1011 E. MADISON ST.,SPRING GREEN,WI,53588-,15-1051.00,Computer Systems Analysts,SYSTEMS ANALYST,60000.0,,Year,Y,1.0,SPRING GREEN,WI,54392.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,327200.0
6404,I-200-09187-284716,DENIED,2009-07-07,2009-07-09,H-1B,2009-10-01,2012-09-30,LONG ISLAND SIGNS & SERVICE INC.,3395 MERRICK ROAD,WANTAGH,NY,11793,17-2199.99,"Engineers, All Other",MECHANICAL DESIGN ENGINEER,19.0,,Hour,N,1.0,WANTAGH,NY,18.96,Hour,OES,OES WAGE SURVEY,2009.0,,,,,,,,339950.0
55375,I-200-09239-138311,CERTIFIED,2009-08-28,2009-09-03,H-1B,2009-09-05,2012-09-04,TECHNOVANT INC.,11875 DUBLIN BLVD. C155,DUBLIN,CA,94568-,15-1051.00,Computer Systems Analysts,SR. PROGRAMMER/ANALYST,95000.0,,Year,Y,1.0,DUBLIN,CA,85550.0,Year,OES,OFLC ONLINE WAGE DATA,2009.0,PLEASANTON,CA,85550.0,Year,OES,OFLC ONLINE WAGE DATA,2009.0,541511.0
59264,I-200-09240-618280,CERTIFIED,2009-08-28,2009-09-03,H-1B,2009-10-01,2012-10-01,RED DOUBLE LUCKY CORP,317 MARCUS GARVEY BLVD,BROOKLYN,NY,11221,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",RETAIL BUYER,50000.0,,Year,Y,1.0,BROOKLYN,NY,40414.0,Year,Other,OES/SOC WAGE,2009.0,,,,,,,,445310.0
66118,I-200-09247-205347,DENIED,2009-09-04,2009-09-09,H-1B,2009-10-01,2012-09-30,PURDUE UNIVERSITY,475 STADIUM MALL DRIVE,WEST LAFAYETTE,IN,47907,17-2041.00,Chemical Engineers,POSTDOCTORAL RESEARCH ASSOCIATE,45000.0,55000.0,Year,Y,1.0,HAMMOND,IN,33592.0,Hour,OES,,2009.0,,,,,,,,611310.0
56978,I-200-09239-814912,CERTIFIED,2009-08-27,2009-09-02,H-1B,2009-08-27,2012-08-26,POPULAR TECH,2081 BUSINESS CENTER DRIVE,IRVINE,CA,92612,15-1051.00,Computer Systems Analysts,SR. PROGRAMMER ANALYST,60000.0,,Year,Y,1.0,LAKE FOREST,CA,49442.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541512.0
52031,I-200-09237-361378,CERTIFIED,2009-08-26,2009-09-01,H-1B,2009-10-06,2012-10-01,"COMMUNITY HOSPITAL, WATERVLIET, MICHIGAN",400 MEDICAL PARK DR.,WATERVLIET,MI,49098,29-1123.00,Physical Therapists,PHYSICAL THERAPIST AND PHYSICAL THERAPY ASSISTANT,27.5,,Hour,Y,1.0,WATERVLIET,MI,27.5,Hour,Other,MI HOSPITAL ASSOCIATION,2008.0,COLOMA,MI,27.5,Hour,Other,MI HOSPITAL ASSOCIATION,2008.0,622110.0
63580,I-200-09245-153261,CERTIFIED,2009-09-04,2009-09-11,H-1B,2009-10-01,2010-09-30,THE PENNSYLVANIA STATE UNIVERSITY,404 JAMES M. ELLIOTT BUIDLING,UNIVERSITY PARK,PA,16802,19-2032.00,Materials Scientists,POSTDOCTORAL SCHOLAR,38000.0,,Year,Y,1.0,UNIVERSITY PARK,PA,37398.0,Year,OES,,2009.0,,,,,,,,611310.0
8641,I-200-09189-523600,CERTIFIED,2009-07-08,2009-07-16,H-1B,2009-10-01,2012-09-30,THE JEWISH THEOLOGICAL SEMINARY,3080 BROADWAY,NEW YORK,NY,10027,19-4061.00,Social Science Research Assistants,SOCIAL SCIENCE RESEARCH ASSISTANT,20.6,,Hour,N,1.0,NEW YORK,NY,17.64,Hour,Other,ON LINE WAGE LIBRARY,2009.0,,,,,,,,541720.0
68712,I-200-09252-349341,DENIED,2009-09-09,2009-09-11,H-1B,2009-10-01,2012-09-30,FIVE DIAMOND COLD STORAGE,14250 COUNTY LINE RD.,DELANO,CA,93215,13-1111.00,Management Analysts,MANAGEMENT ANALYST,25.4,,Hour,Y,1.0,DELANO,CA,46197.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,493120.0
10086,I-200-09190-754586,DENIED,2009-07-10,2009-07-17,H-1B,2009-10-01,2012-09-30,"INFOTALENT CONSULTING, INC.","1510 CENTRAL AVENUE, SUITE # 355",ALBANY,NY,12205,15-1021.00,Computer Programmers,PROGRAMMER ANALYST,54000.0,,Year,Y,1.0,ALBANY,NY,53227.0,Year,OES,FLC ONLINE WAGE SURVEY,2009.0,,,,,,,,541511.0
46551,I-200-09231-035963,CERTIFIED,2009-08-26,2009-09-01,H-1B,2009-09-29,2012-09-29,ALERE LLC,3200 WINDY HILL ROAD,ATLANTA,GA,30339,15-1051.00,Computer Systems Analysts,SOFTWARE QUALITY ASSURANCE ANALYST,59164.0,,Year,Y,1.0,ATLANTA,GA,54246.0,Year,Other,ONLINE WAGE LIBRARY,2009.0,,,,,,,,524114.0
17767,I-200-09201-056682,CERTIFIED,2009-07-21,2009-07-27,H-1B,2009-08-10,2012-08-09,NETSPEND CORPORATION,701 BRAZOS STREET,AUSTIN,TX,78701,15-1031.00,"Computer Software Engineers, Applications",SENIOR JAVA SOFTWARE DEVELOPER,110000.0,,Year,Y,1.0,AUSTIN,TX,93246.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,522320.0
38921,I-200-09223-082359,CERTIFIED,2009-08-11,2009-08-17,H-1B,2009-08-17,2012-08-16,"AAI ARCHITECTS, INC.",17383 WEST SUNSET BLVD,PACIFIC PALISADES,CA,90272,17-1011.00,"Architects, Except Landscape and Naval",ARCHITECT,64500.0,,Year,Y,1.0,PACIFIC PALISADES,CA,58448.0,Year,Other,'OFLC ONLINE DATA CENTER',2009.0,,,,,,,,541310.0
30088,I-200-09211-604199,DENIED,2009-07-30,2009-08-03,H-1B,2009-10-01,2012-09-30,WILLOW TRADING LLC,6683 OLD FARM TRAIL,BOYNTON BEACH,FL,33437,11-9141.00,"Property, Real Estate, and Community Association M",PROJECT MANAGER,50000.0,,Year,Y,1.0,BOYNTON BEACH,FL,48610.0,Year,Other,ONLINE WAGE LIBRARY,2009.0,,,,,,,,531210.0
86235,I-200-09272-770165,CERTIFIED,2009-09-29,2009-09-29,H-1B,2009-10-05,2012-10-04,"NESS USA, INC.",160 TECHNOLOGY DRIVE,CANONSBURG,PA,15317,15-1051.00,Computer Systems Analysts,PROGRAMMER ANALYST,71488.0,,Year,Y,1.0,OWINGS MILLS,MD,71448.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
80455,I-200-09265-274159,CERTIFIED,2009-09-22,2009-09-28,H-1B,2009-09-28,2012-09-27,BANCO DO BRASIL,600 FIFTH AVENUE,NEW YORK,NY,10020,15-1051.00,Computer Systems Analysts,BUSINESS ANALYST,78000.0,,Year,Y,1.0,WHITE PLAINS,NY,76440.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,NEW YORK,NY,76440.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,522293.0
18130,I-200-09201-335813,DENIED,2009-07-20,2009-07-22,H-1B,2009-07-20,2012-07-19,"ROSHI TECH, INC",5 CASTLETON COURT,MERRIMACK,NH,3054,15-1021.00,Computer Programmers,PROGRAMMER ANALYST,53352.0,,Year,Y,1.0,MERRIMACK,NH,53352.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
79683,I-200-09264-616290,CERTIFIED,2009-09-21,2009-09-25,H-1B,2009-10-01,2012-09-30,"NATIONWIDE MEDICAL STAFFING, INC.",5000 LENKER STREET,MECHANICSBURG,PA,17050,29-1123.00,Physical Therapists,PHYSICAL THERAPIST,28.88,,Hour,Y,1.0,SOMERSET,PA,28.88,Hour,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,561330.0
15239,I-200-09196-897584,CERTIFIED,2009-07-28,2009-08-03,H-1B,2009-07-27,2012-07-26,MCKESSON CORPORATION,"ONE POST STREET, 34TH FLOOR",SAN FRANCISCO,CA,94104-,15-1051.00,Computer Systems Analysts,QUALITY ASSURANCE ANALYST 3,70762.0,85190.32,Year,Y,1.0,WESTMINSTER,CO,70762.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,5419.0
54202,I-200-09238-622788,CERTIFIED,2009-08-26,2009-09-01,H-1B,2009-10-01,2012-09-30,UNIVERSITY OF MARYLAND BALTIMORE,601 W. LOMBARD STREET,BALTIMORE,MD,21201,25-1042.00,"Biological Science Teachers, Postsecondary",ASSISTANT PROFESSOR,145000.0,,Year,Y,1.0,BALTIMORE,MD,47740.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,611310.0
34912,I-200-09217-691268,CERTIFIED,2009-08-05,2009-08-11,H-1B,2009-09-14,2011-08-01,SAPIENT CORPORATION,131 DARTMOUTH STREET,BOSTON,MA,2116,15-1051.00,Computer Systems Analysts,"SENIOR ASSOCIATE, TECHNOLOGY LEVEL 2",100000.0,,Year,Y,1.0,HOUSTON,TX,93038.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541512.0
17243,I-200-09198-628132,CERTIFIED,2009-07-17,2009-07-23,H-1B,2009-10-01,2012-08-07,MICROSOFT CORPORATION,1 MICROSOFT WAY,REDMOND,WA,98052,11-9199.99,"Managers, All Other",PRODUCT MANAGER,89939.0,,Year,Y,1.0,REDMOND,WA,89939.0,Year,OES,,2008.0,,,,,,,,51121.0
68766,I-200-09252-401288,CERTIFIED,2009-09-11,2009-09-17,H-1B,2009-10-01,2012-09-30,"SMARTSOFT INTERNATIONAL, INC.","3965 JOHNS CREEK COURT, SUITE 500",SUWANEE,GA,30024-,15-1021.00,Computer Programmers,SYSTEMS PROGRAMMER,46600.0,80000.0,Year,Y,1.0,SUWANEE,GA,46571.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
79550,I-200-09264-518765,CERTIFIED,2009-09-21,2009-09-25,H-1B,2009-10-01,2012-09-30,"CARDINAL HEALTH, INC.",7000 CARDINAL PLACE,DUBLIN,OH,43017,19-1042,"Medical Scientists, Except Epidemiologists","SR. SCIENTIST, PRODUCT DEVELOPMENT",56000.0,,Year,Y,1.0,PHOENIX,AZ,48651.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,423450.0
9841,I-200-09190-548428,DENIED,2009-07-10,2009-07-14,H-1B,2009-07-15,2012-07-14,"HARVARD MEDICAL FACULTY PHYSICIANS AT BIDMC, INC.","375 LONGWOOD AVE,  3RD FLOOR",BOSTON,MA,2215,29-1069.99,"Physicians and Surgeons, All Other",MEDICAL DIRECTOR OF LIVER TRANSPLANTATION,300000.0,,Year,Y,1.0,BOSTON,MA,209061.0,Year,OES,,2009.0,,,,,,,,621111.0
11387,I-200-09191-872269,DENIED,2009-07-10,2009-07-14,H-1B,2009-10-01,2012-10-01,"MONOLITHIC POWER SYSTEMS, INC.",6409 GUADALUPE MINES RD.,SAN JOSE,CA,95120-,17-2072.00,"Electronics Engineers, Except Computer",ANALOG IC DESIGN ENGINEER,92000.0,,Year,Y,1.0,SAN JOSE,CA,91187.0,Year,OES,,2009.0,,,,,,,,334413.0
64403,I-200-09245-800434,CERTIFIED,2009-09-02,2009-09-09,H-1B,2009-12-01,2012-11-30,"MEDTRONIC, INC.",710 MEDTRONIC PARKWAY,MINNEAPOLIS,MN,55432,17-2112.00,Industrial Engineers,SUPPLY CHAIN ANALYST/INDUSTRIAL ENGINEER,79726.0,101204.0,Year,Y,1.0,MINNEAPOLIS,MN,79726.0,Year,Other,,2009.0,,,,,,,,334510.0
40695,I-200-09224-411670,CERTIFIED,2009-08-12,2009-08-18,H-1B,2009-10-01,2012-09-30,"PATNI AMERICAS, INC.",ONE BROADWAY,CAMBRIDGE,MA,2142,15-1051.00,Computer Systems Analysts,COMPUTER SYSTEMS ANALYSTS,60700.0,,Year,Y,1.0,TAMPA,FL,60694.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
22369,I-200-09204-509712,CERTIFIED,2009-08-06,2009-08-12,H-1B,2009-08-06,2012-08-06,INTERBORO SYSTEMS CORPORATION,ISC BLDG 206 SAN JORGE ST,SAN JUAN,PR,912,15-1061.00,Database Administrators,INF. SYSTEMS AND DATABASE ADMINISTRATOR,62700.0,,Year,Y,1.0,SAN JUAN,PR,43534.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,334611.0
67163,I-200-09250-483828,CERTIFIED,2009-09-07,2009-09-11,H-1B,2009-09-30,2012-09-29,ACE ENGINEERING,5195 SOUTH DURANGO DRIVE,LAS VEGAS,NV,89113,17-2051.00,Civil Engineers,CIVIL ENGINEER,72000.0,,Year,Y,1.0,LAS VEGAS,NV,62213.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541330.0
68515,I-200-09252-200012,DENIED,2009-09-09,2009-09-16,H-1B,2009-10-01,2012-09-30,ATLANTIC CONTROLS CORPORATION,107A 11TH STREET,ST. AUGUSTINE,FL,32080,11-3051.00,Industrial Production Managers,INDUSTRIAL PRODUCTION MANAGER,61000.0,78603.0,Year,Y,1.0,SAINT AUGUSTINE BEACH,FL,78603.0,Year,OES,,2009.0,,,,,,,,335314.0
1884,I-200-09139-297118,CERTIFIED,2009-05-19,2009-05-26,H-1B,2009-08-02,2012-08-01,SANFORD CLINIC,1305 W. 18TH ST.,SIOUX FALLS,SD,57117,29-1063.00,"Internists, General",PHYSICIAN/INTERNIST,144331.0,,Year,Y,1.0,WATERTOWN,SD,144331.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,CLARK,SD,144331.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,621111.0
65916,I-200-09247-038075,CERTIFIED,2009-09-04,2009-09-11,H-1B,2009-12-14,2012-12-13,"SAP INTERNATIONAL, INC.",5301 BLUE LAGOON DRIVE,MIAMI,FL,33126,41-9031.00,Sales Engineers,FIELD SERVICES MANAGER,99900.0,164700.0,Year,Y,1.0,MIAMI,FL,90688.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541510.0
5914,I-200-09183-813092,DENIED,2009-07-02,2009-07-07,H-1B,2009-08-01,2010-07-31,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,526 PRIICES FORK ROAD - IAO/VT,BLACKSBURG,VA,24061,31-9096.00,Veterinary Assistants and Laboratory Animal Careta,INTERN,27000.0,,Year,Y,1.0,BLACKSBURG,VA,20696.0,Year,OES,,2009.0,,,,,,,,611300.0
52969,I-200-09238-098772,CERTIFIED,2009-08-26,2009-09-01,H-1B,2009-10-01,2012-10-01,PYRAMID INSTRUMENTATION & ELECTRIC CORPORATION,320 EAST I-20,ODESSA,TX,79766,11-9021.00,Construction Managers,CONSTRUCTION MANAGER,92.0,,Hour,Y,1.0,GRANT JUNCTION,CO,73986.0,Year,Other,OFLC ONLINE DATA CENTER,2008.0,,,,,,,,334513.0
54633,I-200-09238-812354,DENIED,2009-08-26,2009-09-02,H-1B,2009-10-01,2012-09-30,"ALLIED TRADING GROUP, INC.",8843 SHIRLEY AVENUE,NORTHRIDGE,CA,91324,17-2141.00,Mechanical Engineers,ENGINEER,60798.0,,Year,Y,1.0,NORTHRIDGE,CA,60798.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,423430.0
26769,I-200-09209-744361,CERTIFIED,2009-07-28,2009-08-03,H-1B,2010-01-01,2012-12-31,GEORGIA INSTITUTE OF TECHNOLOGY,500 TECH PARKWAY,ATLANTA,GA,30332,25-1054.00,"Physics Teachers, Postsecondary",ASSISTANT PROFESSOR,79200.0,,Year,Y,1.0,ALTLANTA,GA,46880.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,611310.0
